Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
2017,Cubs,2420,6283,223,822,785,62,9.90%,22.30%,0.182,0.302,0.255,0.338,0.437,0.331,101,-6.8,4.8,57.6,26.7
2017,Indians,2367,6234,212,818,780,88,9.70%,18.50%,0.186,0.295,0.263,0.339,0.449,0.336,105,11.1,48.8,6.8,26.7
2017,Cardinals,2416,6219,196,761,728,81,9.50%,21.70%,0.17,0.304,0.256,0.334,0.426,0.326,101,2,8.4,51.4,26.3
2018,Braves,2377,6251,175,759,717,90,8.20%,20.60%,0.161,0.302,0.257,0.324,0.417,0.319,97,12.6,-10.8,66.8,26
2019,Nationals,2327,6267,231,873,824,116,9.30%,20.90%,0.19,0.306,0.265,0.342,0.454,0.336,103,3.7,29,35.8,26
2017,Twins,2324,6261,206,815,781,95,9.50%,21.40%,0.174,0.306,0.26,0.334,0.434,0.329,103,14.4,39.7,7.2,26
2018,Astros,2348,6146,205,797,763,71,9.20%,19.50%,0.17,0.289,0.255,0.329,0.425,0.327,109,-7,60.1,-11.5,25.9
2018,Cardinals,2464,6200,205,759,725,63,8.50%,22.30%,0.16,0.294,0.249,0.321,0.409,0.316,99,12.9,8.3,47.1,25.8
2018,Cubs,2490,6369,167,761,722,66,9.00%,21.80%,0.152,0.313,0.258,0.333,0.41,0.321,100,2.2,-0.9,44,25.1
2019,Cubs,2429,6195,256,814,783,45,9.40%,23.60%,0.2,0.297,0.252,0.331,0.452,0.33,102,-2.2,10.3,45,24.9
2018,Angels,2467,6108,214,721,690,89,8.40%,21.30%,0.171,0.277,0.242,0.313,0.413,0.313,100,2.8,-1.1,36.7,24.4
2017,Nationals,2322,6214,215,819,796,108,8.70%,21.40%,0.183,0.311,0.266,0.332,0.449,0.331,99,11.9,2.4,38.7,24.4
2019,Brewers,2514,6309,250,769,744,101,10.00%,24.80%,0.192,0.296,0.246,0.329,0.438,0.324,97,5.9,-20.2,64.6,24.2
2018,Nationals,2441,6288,191,771,737,119,10.00%,20.50%,0.164,0.297,0.254,0.335,0.419,0.325,100,8.4,11.5,22.2,23.8
2019,Mets,2445,6290,242,791,767,56,8.20%,22.00%,0.185,0.299,0.257,0.328,0.442,0.325,104,-17,16.4,21.3,23.5
2019,Diamondbacks,2418,6315,220,813,778,88,8.60%,21.50%,0.182,0.293,0.252,0.323,0.434,0.319,94,18.3,-32.1,68.5,23.4
2018,Rays,2371,6195,150,716,664,128,8.70%,22.40%,0.148,0.317,0.258,0.333,0.406,0.322,106,-0.3,45.9,-23.7,23.4
2019,Rays,2459,6285,217,769,730,94,8.60%,23.80%,0.178,0.306,0.254,0.325,0.431,0.321,102,8.4,27.8,-13,23
2017,Mets,2396,6169,224,735,713,58,8.60%,20.90%,0.184,0.286,0.25,0.32,0.434,0.322,101,-11.3,-7.2,32.1,22.6
2019,Cardinals,2413,6167,210,764,714,116,9.10%,23.00%,0.17,0.292,0.245,0.322,0.415,0.314,95,14.4,-30.6,61.4,22.4
2017,Rays,2345,6147,228,694,671,88,8.90%,25.00%,0.178,0.296,0.245,0.317,0.422,0.316,99,11.2,1.1,6.5,21.7
2017,Mariners,2323,6166,200,750,714,89,7.90%,20.50%,0.165,0.3,0.259,0.325,0.424,0.321,103,-12.6,7.2,-0.8,21.6
2019,Phillies,2431,6261,215,774,742,78,9.00%,23.20%,0.181,0.293,0.246,0.319,0.427,0.314,91,13.8,-59.6,71.3,20.8
2018,Diamondbacks,2409,6157,176,693,658,79,9.10%,23.70%,0.162,0.286,0.235,0.31,0.397,0.306,89,7.1,-76,79.2,20.3
2019,Angels,2425,6251,220,769,734,65,9.40%,20.40%,0.175,0.281,0.247,0.324,0.422,0.316,99,-6.1,-16.9,4.6,20.3
2019,Indians,2321,6124,223,769,731,103,9.20%,21.80%,0.183,0.289,0.25,0.323,0.432,0.319,94,4.3,-45.5,31.9,19.7
2017,Diamondbacks,2360,6224,220,812,776,103,9.30%,23.40%,0.19,0.306,0.254,0.329,0.445,0.329,95,12.4,-27.9,21.1,19.7
2017,Reds,2321,6213,219,753,715,120,9.10%,21.40%,0.179,0.294,0.253,0.329,0.433,0.325,95,-5.3,-47.4,38.7,19.4
2017,Angels,2392,6073,186,710,678,136,8.60%,19.70%,0.155,0.277,0.243,0.315,0.397,0.307,92,1.4,-61.3,42.6,18.8
2018,Mariners,2373,6087,176,677,644,79,7.10%,20.10%,0.154,0.295,0.254,0.314,0.408,0.313,100,-7,-6.8,-17.4,18.2
2017,Red Sox,2334,6338,168,785,735,106,9.00%,19.30%,0.149,0.3,0.258,0.329,0.407,0.316,91,4.9,-64,30.2,18.2
2018,Pirates,2293,6066,157,692,665,70,7.80%,20.30%,0.154,0.298,0.254,0.317,0.407,0.312,95,-13.3,-47.6,29.1,17.7
2017,Athletics,2350,6126,234,739,708,57,9.20%,24.30%,0.19,0.294,0.246,0.319,0.436,0.323,103,-5.5,19.9,-53.6,17.5
2017,Brewers,2423,6135,224,732,695,128,8.90%,25.60%,0.18,0.308,0.249,0.322,0.429,0.321,94,2.4,-48.6,20.7,17.3
2018,Reds,2402,6240,172,696,665,77,9.00%,22.10%,0.148,0.307,0.254,0.328,0.401,0.317,95,-1.9,-44,8.6,16.6
2019,Mariners,2347,6199,239,758,730,115,9.50%,25.50%,0.187,0.287,0.237,0.316,0.424,0.314,98,13.4,0,-50.2,16.4
2018,Rockies,2368,6178,210,780,748,95,8.20%,22.60%,0.179,0.304,0.256,0.322,0.435,0.325,88,3.2,-88.7,53.2,16.4
2018,Twins,2351,6154,166,738,704,47,8.70%,21.60%,0.155,0.298,0.25,0.318,0.405,0.313,96,0.6,-30.6,-17.4,16
2017,Braves,2374,6216,165,732,706,77,7.60%,19.00%,0.15,0.305,0.263,0.326,0.412,0.316,90,4.3,-79.8,35,15.9
2018,Mets,2333,6177,170,676,649,71,9.20%,22.70%,0.154,0.283,0.234,0.312,0.389,0.305,94,2.6,-40.1,-8.3,15
2017,Tigers,2336,6150,187,735,699,65,8.20%,21.30%,0.166,0.306,0.258,0.324,0.424,0.321,98,-19.8,-37.8,-29.4,14.2
2017,White Sox,2289,6059,186,706,670,71,6.60%,23.10%,0.161,0.309,0.256,0.314,0.417,0.313,95,-1.9,-36.4,-29.2,14.1
2017,Rockies,2374,6201,192,824,793,59,8.40%,22.70%,0.171,0.332,0.273,0.338,0.444,0.332,88,-6.4,-105.8,40,13.7
2019,Padres,2413,6019,219,682,652,70,8.40%,26.30%,0.172,0.293,0.238,0.308,0.41,0.305,88,-11.1,-109.8,52.5,13.4
2018,Blue Jays,2435,6076,217,709,680,47,8.20%,22.80%,0.183,0.286,0.244,0.312,0.427,0.319,101,-27.1,-22.5,-49.7,13.2
2018,Phillies,2474,6136,186,677,653,69,9.50%,24.80%,0.158,0.289,0.234,0.314,0.393,0.307,90,2.9,-71.4,-3.1,12.2
2018,Royals,2184,6063,155,638,606,117,7.00%,21.60%,0.146,0.293,0.245,0.305,0.392,0.303,88,-7.4,-97.1,11.6,11.8
2019,Blue Jays,2354,6091,247,726,697,51,8.40%,24.90%,0.192,0.28,0.236,0.305,0.428,0.31,92,-7,-71.4,-25.7,11.5
2018,Rangers,2300,6163,194,737,696,74,9.00%,24.10%,0.164,0.292,0.24,0.318,0.404,0.315,89,7.2,-77.4,-15.1,11.4
2017,Orioles,2351,6140,232,743,713,32,6.40%,23.00%,0.175,0.306,0.26,0.312,0.435,0.318,95,-14.9,-51.3,-44.9,11.3
2017,Royals,2342,6027,193,702,660,91,6.50%,19.30%,0.16,0.295,0.259,0.311,0.42,0.312,91,2.5,-65.6,-28.5,11.1
2019,Reds,2462,6100,227,701,679,80,8.10%,23.50%,0.178,0.288,0.244,0.315,0.422,0.312,87,-16.7,-117.9,34.4,11.1
2019,White Sox,2311,6042,182,708,676,63,6.30%,25.60%,0.153,0.329,0.261,0.314,0.414,0.309,93,5.3,-48,-52.2,11
2019,Pirates,2441,6228,163,758,722,64,6.80%,19.50%,0.156,0.309,0.265,0.321,0.42,0.313,92,-4.6,-68,-22.1,10.8
2017,Blue Jays,2455,6154,222,693,661,53,8.80%,21.60%,0.172,0.276,0.24,0.312,0.412,0.312,93,-15.8,-72.6,-30.2,10.7
2017,Giants,2372,6137,128,639,612,76,7.60%,19.60%,0.132,0.294,0.249,0.309,0.38,0.296,83,2.6,-134.1,38.5,10.5
2017,Phillies,2308,6133,174,690,654,59,8.10%,23.10%,0.159,0.304,0.25,0.315,0.409,0.31,87,-9.5,-109.5,13.1,10.4
2019,Rockies,2452,6288,224,835,803,71,7.80%,23.90%,0.19,0.321,0.265,0.326,0.456,0.328,86,1.6,-116.4,16.8,10.1
2017,Rangers,2268,6122,237,799,756,113,8.90%,24.40%,0.186,0.291,0.244,0.32,0.43,0.321,90,6.3,-70.2,-37.6,10.1
2017,Pirates,2371,6136,151,668,635,67,8.50%,19.80%,0.142,0.286,0.244,0.318,0.386,0.304,85,-2.2,-120,19.3,10
2019,Giants,2493,6170,167,678,655,47,7.70%,23.30%,0.153,0.29,0.239,0.302,0.392,0.295,83,-3.4,-143.1,46.1,10
2018,Marlins,2434,6083,128,589,554,45,7.50%,22.80%,0.119,0.293,0.237,0.303,0.357,0.289,83,-15.8,-144.4,49.3,9.9
2019,Royals,2269,6080,162,691,655,117,7.50%,23.10%,0.154,0.301,0.247,0.309,0.401,0.302,84,-1.7,-124.2,5.4,9.3
2019,Rangers,2273,6204,223,810,765,131,8.60%,25.40%,0.183,0.304,0.248,0.319,0.431,0.317,88,12,-86.8,-37.5,9.2
2018,White Sox,2348,6071,182,656,639,98,7.00%,26.30%,0.16,0.304,0.241,0.302,0.401,0.304,92,-7.2,-61.9,-52.9,8.8
2018,Padres,2380,6059,162,617,583,95,7.80%,25.10%,0.145,0.294,0.235,0.297,0.38,0.294,84,-5.7,-122.8,10,8
2017,Padres,2342,5954,189,604,576,89,7.70%,25.20%,0.16,0.287,0.234,0.299,0.393,0.298,82,6.7,-132.7,7.4,7
2018,Giants,2412,6113,133,603,573,77,7.30%,24.00%,0.129,0.299,0.239,0.3,0.368,0.29,83,-2.9,-132.5,7.9,7
2018,Tigers,2323,6029,135,630,597,70,7.10%,22.20%,0.138,0.293,0.241,0.3,0.38,0.295,83,6.4,-113.4,-20.5,6.7
2019,Orioles,2386,6189,213,729,698,84,7.50%,23.20%,0.168,0.293,0.246,0.31,0.415,0.308,88,2,-89.6,-63.8,6.4
2019,Marlins,2402,6045,146,615,593,55,6.50%,24.30%,0.134,0.3,0.241,0.298,0.375,0.288,79,-23.9,-195.2,26.3,2.6
2018,Orioles,2313,6034,188,622,593,81,7.00%,23.40%,0.152,0.286,0.239,0.298,0.391,0.299,85,-9.6,-116.1,-75.1,0.8
2019,Tigers,2316,6039,149,582,556,57,6.50%,26.40%,0.148,0.308,0.24,0.294,0.388,0.29,77,-6.8,-186.3,-53.8,-2.6
