"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2016","Paul Goldschmidt","Diamondbacks","158","579","705","172","112","33","3","24","106","95","110","15","150","7","8","0","14","32","5",".297","15.6 %","21.3 %","0.73",".411",".489",".899",".192","5.7",".358","120","37.1",".382","133","3.9","1.2","0.1","181","117","104","85","19.0 %","39.1 %","35.9 %","24.9 %","14.2 %","48.3 %","37.5 %","9218"
"2017","Cody Bellinger","Dodgers","132","480","548","128","59","26","4","39","87","97","64","13","146","1","3","0","5","10","3",".267","11.7 %","26.6 %","0.44",".352",".581",".933",".315","5.5",".299","94","27.3",".380","138","0.4","-0.6","2.2","130","86","80","134","25.2 %","42.4 %","34.7 %","22.9 %","14.0 %","43.0 %","43.0 %","15998"
"2017","Anthony Rizzo","Cubs","157","572","691","156","89","32","3","32","99","109","91","11","90","24","4","0","21","10","4",".273","13.2 %","13.0 %","1.01",".392",".507",".899",".234","4.4",".273","119","34.3",".380","134","-0.2","-3.5","-0.5","146","98","92","111","16.9 %","44.9 %","33.3 %","21.8 %","19.8 %","45.9 %","34.4 %","3473"
"2017","Jose Martinez","Cardinals","106","272","307","84","56","13","1","14","47","46","32","2","60","0","2","1","9","4","0",".309","10.4 %","19.5 %","0.53",".379",".518",".897",".210","4.6",".350","52","15.0",".379","136","0.6","0.2","-0.6","116","130","95","89","20.9 %","34.9 %","35.8 %","29.3 %","17.7 %","45.1 %","37.2 %","7996"
"2018","Freddie Freeman","Braves","162","618","707","191","120","44","4","23","94","98","76","12","132","7","6","0","11","10","3",".309","10.7 %","18.7 %","0.58",".388",".505",".892",".196","4.5",".358","119","36.4",".378","137","0.3","0.6","0.4","120","148","84","90","14.9 %","43.1 %","31.1 %","25.8 %","11.0 %","47.2 %","41.9 %","5361"
"2018","Matt Carpenter","Cardinals","156","564","677","145","67","42","0","36","111","81","102","17","158","6","4","0","0","4","1",".257","15.1 %","23.3 %","0.65",".374",".523",".897",".266","3.1",".291","113","33.5",".375","140","0.0","-1.5","2.8","168","122","61","134","19.1 %","48.3 %","29.3 %","22.4 %","9.3 %","41.7 %","49.0 %","8090"
"2016","Matt Carpenter","Cardinals","129","473","566","128","65","36","6","21","81","68","81","6","108","5","4","3","4","0","4",".271","14.3 %","19.1 %","0.75",".380",".505",".885",".235","4.0",".307","93","26.6",".375","136","-2.0","-2.0","0.9","166","124","68","127","13.3 %","48.1 %","32.8 %","19.1 %","10.0 %","48.1 %","41.9 %","8090"
"2017","Justin Bour","Marlins","108","377","429","109","66","18","0","25","52","83","47","7","95","1","4","0","10","1","0",".289","11.0 %","22.1 %","0.49",".366",".536",".902",".247","1.6",".322","72","19.4",".374","134","-0.1","-4.7","0.3","122","112","98","95","26.0 %","47.2 %","34.3 %","18.5 %","19.6 %","41.6 %","38.8 %","9744"
"2018","Jesus Aguilar","Brewers","149","492","566","135","75","25","0","35","80","108","58","3","143","6","10","0","19","0","0",".274","10.2 %","25.3 %","0.41",".352",".539",".890",".264","1.3",".309","93","27.3",".374","134","-0.3","-2.4","-0.9","114","108","82","117","23.8 %","43.5 %","33.4 %","23.1 %","15.3 %","40.7 %","44.0 %","11342"
"2016","Brandon Belt","Giants","156","542","655","149","83","41","8","17","77","82","104","4","148","5","4","0","7","0","4",".275","15.9 %","22.6 %","0.70",".394",".474",".868",".199","3.7",".346","107","30.1",".374","136","-2.1","-3.2","2.3","184","131","59","135","9.3 %","36.2 %","33.4 %","30.4 %","16.6 %","47.0 %","36.4 %","10264"
"2018","Joey Votto","Reds","145","503","623","143","101","28","2","12","67","67","108","6","101","9","3","0","15","2","0",".284","17.3 %","16.2 %","1.07",".417",".419",".837",".135","2.7",".333","101","27.9",".370","130","-0.1","-3.0","-0.7","193","144","87","89","9.5 %","35.3 %","33.8 %","30.9 %","9.1 %","49.9 %","41.0 %","4314"
"2017","Eric Thames","Brewers","138","469","551","116","55","26","4","31","83","63","75","5","163","7","0","0","6","4","2",".247","13.6 %","29.6 %","0.46",".359",".518",".877",".271","4.6",".309","89","22.3",".369","125","-0.4","-2.5","1.3","151","99","87","117","24.6 %","45.4 %","28.1 %","26.5 %","16.0 %","42.5 %","41.5 %","3711"
"2017","Buster Posey","Giants","140","494","568","158","112","34","0","12","62","67","61","13","66","8","5","0","17","6","1",".320","10.7 %","11.6 %","0.92",".400",".462",".861",".142","2.8",".347","91","21.4",".366","128","0.4","-1.1","-1.1","119","114","99","94","8.4 %","36.5 %","40.0 %","23.6 %","14.1 %","52.9 %","33.0 %","9166"
"2017","Lucas Duda","Mets","75","252","291","62","24","21","0","17","30","37","37","4","73","2","0","0","6","0","0",".246","12.7 %","25.1 %","0.51",".347",".532",".879",".286","0.5",".278","46","10.9",".365","130","-0.1","-4.3","0.0","141","117","71","127","21.3 %","45.8 %","30.7 %","23.5 %","14.0 %","41.9 %","44.1 %","2502"
"2016","Sean Rodriguez","Pirates","140","300","342","81","46","16","1","18","49","56","33","2","102","5","3","1","6","2","1",".270","9.6 %","29.8 %","0.32",".349",".510",".859",".240","3.5",".344","53","12.7",".363","128","-0.2","-1.6","0.6","112","115","89","105","25.0 %","41.6 %","34.7 %","23.8 %","15.4 %","41.6 %","43.1 %","6589"
"2017","Adam Lind","Nationals","116","267","301","81","53","14","0","14","39","59","28","5","47","0","6","0","6","1","0",".303","9.3 %","15.6 %","0.60",".362",".513",".875",".210","2.2",".316","47","10.6",".363","120","0.0","-0.9","-0.4","103","86","104","103","17.1 %","35.4 %","39.4 %","25.2 %","13.7 %","46.9 %","39.4 %","8027"
"2017","Matt Carpenter","Cardinals","145","497","622","120","64","31","2","23","91","69","109","4","125","9","5","2","5","2","1",".241","17.5 %","20.1 %","0.87",".384",".451",".835",".209","3.1",".274","97","20.9",".361","124","-0.5","-0.8","1.7","195","109","61","144","12.2 %","47.2 %","31.4 %","21.4 %","12.1 %","45.7 %","42.2 %","8090"
"2018","Anthony Rizzo","Cubs","153","566","665","160","105","29","1","25","74","101","70","15","80","20","9","0","11","6","4",".283","10.5 %","12.0 %","0.88",".376",".470",".846",".187","2.6",".287","102","23.9",".359","126","-0.9","-5.7","0.8","117","113","88","107","13.6 %","45.3 %","34.6 %","20.2 %","16.6 %","49.3 %","34.1 %","3473"
"2017","Mark Reynolds","Rockies","148","520","593","139","86","22","1","30","82","97","69","0","175","1","3","0","12","2","1",".267","11.6 %","29.5 %","0.39",".352",".487",".839",".219","2.7",".343","91","18.3",".357","105","-0.4","-2.7","0.4","129","105","95","103","23.8 %","44.0 %","33.9 %","22.1 %","19.0 %","46.6 %","34.5 %","7619"
"2018","David Freese","Pirates","113","280","312","83","58","12","2","11","38","51","24","1","72","5","3","0","10","0","0",".296","7.7 %","23.1 %","0.33",".359",".471",".830",".175","2.5",".360","47","10.7",".357","126","-0.2","-0.9","-0.2","86","102","119","75","20.0 %","36.0 %","33.7 %","30.3 %","16.1 %","47.9 %","36.0 %","9549"
"2018","Jose Martinez","Cardinals","152","534","590","163","116","30","0","17","64","83","49","0","104","2","3","2","15","0","3",".305","8.3 %","17.6 %","0.47",".364",".457",".821",".152","1.4",".351","89","19.8",".356","127","-1.6","0.1","-0.1","93","119","107","79","14.2 %","32.4 %","32.9 %","34.7 %","14.0 %","45.5 %","40.5 %","7996"
"2017","Brandon Belt","Giants","104","382","451","92","44","27","3","18","63","51","66","2","104","2","1","0","5","3","2",".241","14.6 %","23.1 %","0.63",".355",".469",".823",".228","4.2",".284","67","11.7",".352","119","-0.5","-1.3","1.0","163","114","67","133","14.1 %","39.4 %","37.6 %","22.9 %","14.0 %","47.7 %","38.4 %","10264"
"2018","Ryan Zimmerman","Nationals","85","288","323","76","40","21","2","13","33","51","30","1","55","3","2","0","10","1","1",".264","9.3 %","17.0 %","0.55",".337",".486",".824",".222","2.8",".284","47","9.6",".351","118","-0.4","0.5","-0.7","103","80","113","96","16.5 %","31.5 %","42.6 %","26.0 %","17.0 %","43.4 %","39.6 %","4220"
"2017","Jesus Aguilar","Brewers","133","279","311","74","41","15","2","16","40","52","25","1","94","4","3","0","8","0","0",".265","8.0 %","30.2 %","0.27",".331",".505",".837",".240","2.8",".337","46","7.8",".351","114","-0.2","0.1","-0.2","89","104","93","107","22.5 %","38.8 %","44.7 %","16.5 %","15.4 %","39.4 %","45.2 %","11342"
"2016","Mark Reynolds","Rockies","118","393","441","111","73","24","0","14","61","53","42","1","112","4","2","0","6","1","2",".282","9.5 %","25.4 %","0.38",".356",".450",".806",".168","2.1",".361","63","11.1",".349","101","-0.9","-2.1","0.4","110","122","93","95","15.2 %","40.6 %","31.8 %","27.6 %","20.5 %","50.5 %","29.0 %","7619"
"2016","Chris Carter","Brewers","160","549","644","122","53","27","1","41","84","94","76","1","206","9","10","0","18","3","1",".222","11.8 %","32.0 %","0.37",".321",".499",".821",".277","2.9",".260","91","14.9",".346","113","-0.1","-3.1","-1.1","137","92","71","143","23.8 %","37.7 %","39.4 %","23.0 %","14.5 %","45.0 %","40.5 %","9911"
"2017","Matt Adams","Braves","131","339","367","93","50","22","1","20","46","65","23","5","88","1","4","0","5","0","0",".274","6.3 %","24.0 %","0.26",".319",".522",".841",".248","2.0",".311","53","7.8",".346","111","-0.2","0.3","0.6","70","90","88","121","18.3 %","46.7 %","32.9 %","20.4 %","15.3 %","47.5 %","37.3 %","9393"
"2018","Cody Bellinger","Dodgers","162","557","632","145","85","28","7","25","84","76","69","9","151","3","3","0","7","14","1",".260","10.9 %","23.9 %","0.46",".343",".470",".814",".210","6.3",".313","90","15.7",".345","120","2.0","0.8","1.3","122","91","92","115","15.2 %","45.2 %","32.0 %","22.7 %","18.1 %","41.8 %","40.1 %","15998"
"2016","Justin Bour","Marlins","90","280","321","74","46","12","1","15","35","51","38","9","56","0","3","0","8","0","0",".264","11.8 %","17.4 %","0.68",".349",".475",".824",".211","1.6",".278","45","6.7",".343","118","-0.2","0.0","0.0","137","102","98","101","19.2 %","44.1 %","31.3 %","24.7 %","15.4 %","49.3 %","35.2 %","9744"
"2018","Mark Reynolds","Nationals","86","206","235","51","30","8","0","13","26","40","24","1","64","2","3","0","8","0","0",".248","10.2 %","27.2 %","0.38",".328",".476",".803",".228","0.8",".288","33","5.3",".342","112","-0.1","-2.4","-1.4","114","82","94","119","21.7 %","48.3 %","33.8 %","17.9 %","17.2 %","46.9 %","35.9 %","7619"
"2016","Tommy Joseph","Phillies","107","315","347","81","45","15","0","21","47","47","22","0","75","4","6","0","11","1","1",".257","6.3 %","21.6 %","0.29",".308",".505",".813",".248","2.2",".267","48","6.7",".342","112","-0.4","-0.5","-1.2","73","84","83","132","18.9 %","41.9 %","37.8 %","20.3 %","20.3 %","43.1 %","36.6 %","10349"
"2016","Wil Myers","Padres","157","599","676","155","94","29","4","28","99","94","68","1","160","4","5","0","12","28","6",".259","10.1 %","23.7 %","0.43",".336",".461",".797",".202","6.3",".305","93","13.0",".341","114","2.8","4.3","0.5","116","101","100","99","18.7 %","38.3 %","37.8 %","23.9 %","16.7 %","49.8 %","33.6 %","10047"
"2017","Josh Bell","Pirates","159","549","620","140","82","26","6","26","75","90","66","4","117","1","4","0","15","2","4",".255","10.6 %","18.9 %","0.56",".334",".466",".800",".211","3.5",".278","85","9.1",".338","108","-1.7","-5.0","-0.1","118","86","116","89","19.1 %","41.5 %","29.6 %","28.9 %","20.6 %","46.8 %","32.6 %","13145"
"2016","Wilmer Flores","Mets","103","307","335","82","52","14","0","16","38","49","23","0","48","2","3","0","9","1","1",".267","6.9 %","14.3 %","0.48",".319",".469",".788",".202","1.8",".268","44","5.0",".336","114","-0.4","-4.7","0.2","79","103","74","132","13.6 %","40.1 %","36.6 %","23.3 %","20.2 %","52.7 %","27.1 %","5827"
"2018","Josh Bell","Pirates","148","501","583","131","84","31","4","12","74","62","77","2","104","0","5","0","12","2","5",".261","13.2 %","17.8 %","0.74",".357",".411",".768",".150","3.3",".305","78","9.9",".336","111","-2.0","-1.4","0.1","147","87","112","93","9.2 %","33.8 %","37.6 %","28.6 %","19.2 %","47.0 %","33.8 %","13145"
"2016","John Jaso","Pirates","132","380","432","102","66","25","3","8","45","42","45","0","74","5","1","1","8","0","4",".268","10.4 %","17.1 %","0.61",".353",".413",".766",".145","3.0",".314","57","6.1",".335","109","-1.9","-3.4","0.2","121","98","117","79","9.6 %","42.2 %","41.6 %","16.2 %","23.7 %","45.8 %","30.5 %","5887"
"2017","Wil Myers","Padres","155","567","649","138","76","29","3","30","80","74","70","3","180","5","7","0","15","20","6",".243","10.8 %","27.7 %","0.39",".328",".464",".792",".220","5.3",".297","87","7.8",".335","107","1.1","-0.5","0.0","120","96","85","122","17.9 %","42.4 %","36.8 %","20.8 %","19.5 %","39.1 %","41.4 %","10047"
"2016","Adrian Gonzalez","Dodgers","156","568","633","162","113","31","0","18","69","90","55","9","117","4","6","0","16","0","2",".285","8.7 %","18.5 %","0.47",".349",".435",".784",".150","1.4",".328","83","8.5",".334","111","-1.2","-3.0","-0.7","101","124","103","81","14.4 %","38.1 %","34.1 %","27.8 %","16.2 %","51.0 %","32.8 %","1908"
"2016","David Freese","Pirates","141","437","492","118","82","23","0","13","63","55","45","2","142","10","0","0","15","0","0",".270","9.1 %","28.9 %","0.32",".352",".412",".764",".142","1.6",".372","64","6.5",".334","108","-0.3","-2.7","-1.5","106","90","136","60","21.7 %","34.6 %","38.3 %","27.1 %","16.6 %","48.1 %","35.3 %","9549"
"2018","Matt Adams","Nationals","121","306","337","73","42","10","0","21","42","57","27","3","73","4","0","0","6","0","0",".239","8.0 %","21.7 %","0.37",".309",".477",".786",".239","1.2",".245","45","5.2",".334","107","-0.2","-1.9","0.4","89","94","80","128","20.2 %","48.1 %","30.0 %","21.9 %","18.5 %","42.5 %","39.1 %","9393"
"2018","Carlos Santana","Phillies","161","560","679","128","74","28","2","24","82","86","110","6","93","1","8","0","12","2","1",".229","16.2 %","13.7 %","1.18",".352",".414",".766",".186","2.7",".231","90","10.3",".333","108","-0.4","0.4","-0.1","180","73","93","125","11.6 %","48.0 %","29.9 %","22.1 %","22.7 %","44.4 %","32.8 %","2396"
"2017","Wilmer Flores","Mets","110","336","362","91","55","17","1","18","42","52","17","1","54","3","6","0","14","1","1",".271","4.7 %","14.9 %","0.31",".307",".488",".795",".217","2.4",".270","47","3.2",".331","107","-0.4","-0.3","-1.9","52","90","81","130","13.6 %","40.3 %","33.0 %","26.7 %","16.3 %","48.3 %","35.4 %","5827"
"2016","Matt Adams","Cardinals","118","297","327","74","40","18","0","16","37","54","25","1","81","2","3","0","5","0","1",".249","7.6 %","24.8 %","0.31",".309",".471",".780",".222","1.4",".286","42","3.3",".331","106","-0.6","-2.6","0.8","88","93","71","142","15.2 %","35.2 %","36.5 %","28.3 %","14.6 %","48.9 %","36.5 %","9393"
"2018","Eric Thames","Brewers","96","247","278","54","25","10","3","16","41","37","29","4","97","2","0","0","3","7","0",".219","10.4 %","34.9 %","0.30",".306",".478",".783",".259","7.6",".284","36","3.4",".330","105","1.3","0.0","0.5","116","92","77","134","22.9 %","44.0 %","34.0 %","22.0 %","12.0 %","42.0 %","46.0 %","3711"
"2016","Brandon Moss","Cardinals","128","413","464","93","44","19","2","28","66","67","39","3","141","7","5","0","8","1","0",".225","8.4 %","30.4 %","0.28",".300",".484",".784",".259","3.9",".261","59","4.2",".329","105","0.0","0.2","0.0","97","96","60","154","19.4 %","46.2 %","31.4 %","22.4 %","19.1 %","40.8 %","40.1 %","4467"
"2018","Brandon Belt","Giants","112","399","456","101","67","18","2","14","50","46","49","6","107","6","2","0","2","4","0",".253","10.7 %","23.5 %","0.46",".342",".414",".756",".160","4.1",".311","58","4.4",".327","108","0.5","0.7","2.0","120","132","55","135","10.3 %","39.8 %","30.3 %","29.9 %","17.4 %","41.2 %","41.5 %","10264"
"2017","T.J. Rivera","Mets","73","214","231","62","43","13","1","5","27","27","9","0","32","5","2","1","4","1","0",".290","3.9 %","13.9 %","0.28",".330",".430",".760",".140","3.6",".318","29","1.0",".326","104","0.1","0.4","0.6","43","122","80","113","6.8 %","43.8 %","36.8 %","19.5 %","18.9 %","51.4 %","29.7 %","12495"
"2018","Justin Bour","Marlins","141","423","501","96","62","13","1","20","49","59","73","6","124","2","3","0","10","2","0",".227","14.6 %","24.8 %","0.59",".341",".404",".746",".177","2.4",".270","63","4.0",".324","106","0.1","-6.4","0.1","162","87","103","104","18.3 %","41.7 %","36.4 %","21.9 %","22.9 %","39.7 %","37.4 %","9744"
"2017","John Jaso","Pirates","126","256","302","54","25","19","0","10","28","35","40","2","66","5","1","0","5","1","1",".211","13.2 %","21.9 %","0.61",".328",".402",".730",".191","1.6",".243","36","-1.0",".317","94","-0.4","1.8","0.4","147","94","76","134","11.1 %","47.1 %","34.0 %","18.9 %","19.9 %","44.0 %","36.1 %","5887"
"2018","Wilmer Flores","Mets","126","386","429","103","67","25","0","11","43","51","29","1","42","5","9","0","8","0","0",".267","6.8 %","9.8 %","0.69",".319",".417",".736",".150","1.2",".269","51","0.5",".316","102","-0.2","-4.2","0.2","75","88","83","128","7.0 %","39.6 %","32.8 %","27.6 %","24.1 %","43.1 %","32.9 %","5827"
"2018","Ian Desmond","Rockies","160","555","619","131","80","21","8","22","82","88","53","0","146","6","4","1","17","20","6",".236","8.6 %","23.6 %","0.36",".307",".422",".729",".186","7.0",".279","73","0.2",".315","82","1.2","0.8","-2.0","95","75","143","62","24.7 %","30.0 %","40.8 %","29.2 %","21.5 %","44.4 %","34.1 %","6885"
"2016","Andres Blanco","Phillies","90","190","209","48","28","15","1","4","26","21","11","0","41","7","1","0","7","2","3",".253","5.3 %","19.6 %","0.27",".316",".405",".721",".153","4.2",".301","24","-0.8",".313","93","-0.9","0.5","-0.8","61","92","116","85","9.3 %","36.0 %","37.3 %","26.7 %","24.0 %","48.7 %","27.3 %","1907"
"2018","Pablo Sandoval","Giants","92","230","252","57","37","10","1","9","22","40","19","2","52","2","1","0","9","0","0",".248","7.5 %","20.6 %","0.37",".310",".417",".727",".170","1.7",".282","29","-0.5",".312","98","-0.1","-0.7","-1.0","84","92","116","85","17.0 %","33.5 %","36.9 %","29.6 %","15.6 %","43.6 %","40.8 %","5409"
"2018","Eric Hosmer","Padres","157","613","677","155","104","31","2","18","72","69","62","10","142","1","1","0","18","7","4",".253","9.2 %","21.0 %","0.44",".322",".398",".720",".145","3.5",".302","76","-2.9",".309","95","-0.6","-2.2","-1.4","102","91","140","56","19.4 %","31.8 %","39.2 %","29.0 %","23.5 %","42.0 %","34.5 %","3516"
"2017","Tommy Joseph","Phillies","142","495","533","119","69","27","1","22","51","69","33","1","129","2","3","0","21","1","0",".240","6.2 %","24.2 %","0.26",".289",".432",".721",".192","2.2",".280","58","-7.0",".305","84","-0.1","-1.3","-3.0","69","94","94","111","15.3 %","44.2 %","33.1 %","22.8 %","20.9 %","44.2 %","35.0 %","10349"
"2017","Ian Desmond","Rockies","95","339","373","93","74","11","1","7","47","40","24","1","87","4","4","2","13","15","4",".274","6.4 %","23.3 %","0.28",".326",".375",".701",".100","5.6",".345","40","-5.2",".305","70","1.1","1.0","-1.4","72","80","142","59","13.2 %","36.1 %","38.8 %","25.2 %","24.8 %","48.1 %","27.1 %","6885"
"2016","James Loney","Mets","100","343","366","91","65","16","1","9","30","34","16","3","37","5","1","1","11","0","0",".265","4.4 %","10.1 %","0.43",".307",".397",".703",".131","1.4",".275","38","-4.9",".302","91","-0.2","-0.4","-1.0","51","112","93","101","8.5 %","36.4 %","34.1 %","29.6 %","22.4 %","48.1 %","29.6 %","4556"
"2016","Ryan Howard","Phillies","112","331","362","65","30","10","0","25","35","59","27","2","114","1","3","0","7","0","1",".196","7.5 %","31.5 %","0.24",".257",".453",".710",".257","0.8",".205","37","-6.1",".298","83","-0.5","-1.9","0.1","86","107","77","125","26.6 %","42.3 %","42.7 %","15.0 %","11.4 %","42.7 %","45.9 %","2154"
"2018","Ryan McMahon","Rockies","91","181","202","42","27","9","1","5","17","19","18","2","64","2","1","0","0","1","0",".232","8.9 %","31.7 %","0.28",".307",".376",".683",".144","3.5",".327","21","-3.1",".296","69","0.1","0.7","0.8","99","110","107","86","14.3 %","29.7 %","40.7 %","29.7 %","18.6 %","47.5 %","33.9 %","15112"
"2017","Jose Osuna","Pirates","104","215","227","50","26","13","4","7","31","30","9","0","40","2","1","0","10","0","0",".233","4.0 %","17.6 %","0.23",".269",".428",".697",".195","4.9",".254","22","-5.3",".293","78","-0.1","0.3","-1.5","44","89","119","82","13.7 %","38.6 %","31.3 %","30.1 %","23.3 %","47.2 %","29.6 %","12937"
"2018","Austin Slater","Giants","74","199","225","50","42","6","1","1","21","23","20","2","69","5","1","0","5","7","0",".251","8.9 %","30.7 %","0.29",".333",".307",".640",".055","5.6",".377","21","-5.0",".287","82","1.2","-0.1","-0.3","99","95","146","46","4.8 %","29.0 %","35.1 %","35.9 %","20.6 %","42.0 %","37.4 %","16153"
"2017","Tyler Moore","Marlins","104","187","203","43","23","14","0","6","17","30","10","0","56","1","4","1","7","0","0",".230","4.9 %","27.6 %","0.18",".267",".401",".668",".171","1.0",".287","18","-6.7",".282","74","-0.1","0.8","-1.1","55","69","82","141","9.0 %","46.3 %","27.9 %","25.7 %","13.2 %","53.7 %","33.1 %","7244"
"2018","Miguel Rojas","Marlins","153","488","528","123","99","13","0","11","44","53","24","2","69","9","4","2","23","6","3",".252","4.5 %","13.1 %","0.35",".297",".346",".643",".094","2.7",".272","47","-14.3",".282","78","-0.3","-1.6","-3.2","51","109","109","84","8.9 %","32.7 %","37.7 %","29.7 %","20.0 %","53.2 %","26.8 %","7802"
"2016","Clint Robinson","Nationals","104","197","225","46","37","4","0","5","16","26","20","0","39","2","5","1","4","0","0",".234","8.9 %","17.3 %","0.51",".304",".330",".634",".096","0.6",".259","19","-7.0",".280","69","-0.1","-3.1","0.5","103","75","106","108","8.3 %","34.2 %","42.1 %","23.8 %","24.4 %","46.3 %","29.3 %","6908"
"2016","Brett Wallace","Padres","119","217","256","41","25","10","0","6","19","20","29","3","83","9","1","0","2","0","0",".189","11.3 %","32.4 %","0.35",".309",".318",".627",".129","0.8",".271","22","-8.0",".280","73","-0.1","-0.2","0.4","131","98","114","83","15.8 %","45.9 %","30.4 %","23.7 %","20.7 %","44.4 %","34.8 %","8434"
"2016","Ryan Zimmerman","Nationals","115","427","467","93","59","18","1","15","60","46","29","1","104","5","6","0","12","4","1",".218","6.2 %","22.3 %","0.28",".272",".370",".642",".152","4.4",".248","39","-16.0",".277","66","0.2","1.2","-0.5","72","79","109","102","13.2 %","36.5 %","35.9 %","27.7 %","15.2 %","50.2 %","34.7 %","4220"
"2017","Adrian Gonzalez","Dodgers","71","231","252","56","36","17","0","3","14","30","16","1","43","0","4","0","7","0","1",".242","6.3 %","17.1 %","0.37",".287",".355",".642",".113","0.9",".280","21","-9.7",".275","69","-0.6","-2.1","-0.9","71","107","93","105","4.2 %","37.0 %","34.4 %","28.7 %","14.1 %","53.7 %","32.3 %","1908"
"2018","Victor Caratini","Cubs","76","181","200","42","33","7","0","2","21","21","12","0","42","4","1","2","5","0","0",".232","6.0 %","21.0 %","0.29",".293",".304",".597",".072","1.8",".290","16","-7.7",".268","65","-0.1","1.5","-0.6","67","105","122","70","5.9 %","37.3 %","41.6 %","21.1 %","20.4 %","51.4 %","28.2 %","14968"
